"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"lipid transport (GO:0006869)","3/109",1.8376535339644e-05,0.00226306235403385,0,0,80.3935309973046,876.646110395121,"ABCA10;ABCA6;ABCA8"
"organic substance transport (GO:0071702)","3/136",3.56387772288795e-05,0.00226306235403385,0,0,63.9860365198711,655.349865925467,"ABCA10;ABCA6;ABCA8"
"regulation of vascular associated smooth muscle cell proliferation (GO:1904705)","2/37",0.000148459361804643,0.00628477964972989,0,0,142.535714285714,1256.48072809143,"MMP2;SOD2"
"positive regulation of vascular associated smooth muscle cell apoptotic process (GO:1905461)","1/5",0.00249770786419674,0.0334889665251504,0,0,555.166666666667,3326.77064151216,"SOD2"
"oxygen homeostasis (GO:0032364)","1/6",0.00299657817287215,0.0334889665251504,0,0,444.111111111111,2580.41179429264,"SOD2"
"cytokine-mediated signaling pathway (GO:0019221)","3/621",0.00303644964215548,0.0334889665251504,0,0,13.4341192787795,77.878480503084,"MMP2;SOD2;F3"
"positive regulation of vascular associated smooth muscle cell differentiation (GO:1905065)","1/7",0.003495224297089,0.0334889665251504,0,0,370.074074074074,2093.27134911451,"SOD2"
"gas homeostasis (GO:0033483)","1/7",0.003495224297089,0.0334889665251504,0,0,370.074074074074,2093.27134911451,"SOD2"
"regulation of vascular associated smooth muscle cell apoptotic process (GO:1905459)","1/7",0.003495224297089,0.0334889665251504,0,0,370.074074074074,2093.27134911451,"SOD2"
"elastic fiber assembly (GO:0048251)","1/8",0.00399364626134036,0.0334889665251504,0,0,317.190476190476,1751.8590547314,"TNXB"
"regulation of positive chemotaxis (GO:0050926)","1/8",0.00399364626134036,0.0334889665251504,0,0,317.190476190476,1751.8590547314,"F3"
"negative regulation of systemic arterial blood pressure (GO:0003085)","1/9",0.00449184410751083,0.0334889665251504,0,0,277.527777777778,1500.17416789664,"SOD2"
"negative regulation of protein activation cascade (GO:2000258)","1/9",0.00449184410751083,0.0334889665251504,0,0,277.527777777778,1500.17416789664,"F3"
"positive regulation of smooth muscle cell apoptotic process (GO:0034393)","1/9",0.00449184410751083,0.0334889665251504,0,0,277.527777777778,1500.17416789664,"SOD2"
"removal of superoxide radicals (GO:0019430)","1/10",0.00498981788934786,0.0334889665251504,0,0,246.679012345679,1307.48654986014,"SOD2"
"positive regulation of cell motility (GO:2000147)","2/221",0.00515945502347834,0.0334889665251504,0,0,22.5696347031963,118.872557926933,"SOD2;F3"
"sphingomyelin metabolic process (GO:0006684)","1/11",0.00548756766902295,0.0334889665251504,0,0,222,1155.5699775562,"ABCA8"
"cellular response to superoxide (GO:0071451)","1/11",0.00548756766902295,0.0334889665251504,0,0,222,1155.5699775562,"SOD2"
"cellular response to UV-A (GO:0071492)","1/11",0.00548756766902295,0.0334889665251504,0,0,222,1155.5699775562,"MMP2"
"negative regulation of substrate adhesion-dependent cell spreading (GO:1900025)","1/13",0.00648239549203707,0.0334889665251504,0,0,184.981481481481,932.059746399125,"FBLN1"
"negative regulation of locomotion (GO:0040013)","1/13",0.00648239549203707,0.0334889665251504,0,0,184.981481481481,932.059746399125,"FBLN1"
"negative regulation of cell morphogenesis involved in differentiation (GO:0010771)","1/13",0.00648239549203707,0.0334889665251504,0,0,184.981481481481,932.059746399125,"FBLN1"
"regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640)","1/13",0.00648239549203707,0.0334889665251504,0,0,184.981481481481,932.059746399125,"F3"
"vasodilation (GO:0042311)","1/14",0.00697947368021334,0.0334889665251504,0,0,170.74358974359,847.704661538015,"SOD2"
"response to UV-A (GO:0070141)","1/14",0.00697947368021334,0.0334889665251504,0,0,170.74358974359,847.704661538015,"MMP2"
"negative regulation of cellular component movement (GO:0051271)","1/15",0.00747632815644859,0.0334889665251504,0,0,158.539682539683,776.212425317664,"FBLN1"
"positive regulation of cell migration (GO:0030335)","2/269",0.00755286361321181,0.0334889665251504,0,0,18.4672284644195,90.227711168045,"SOD2;F3"
"positive regulation of blood coagulation (GO:0030194)","1/17",0.00846936628057759,0.0334889665251504,0,0,138.708333333333,661.819014297417,"F3"
"positive regulation of positive chemotaxis (GO:0050927)","1/17",0.00846936628057759,0.0334889665251504,0,0,138.708333333333,661.819014297417,"F3"
"regulation of stem cell proliferation (GO:0072091)","1/17",0.00846936628057759,0.0334889665251504,0,0,138.708333333333,661.819014297417,"FBLN1"
"negative regulation of vascular associated smooth muscle cell proliferation (GO:1904706)","1/17",0.00846936628057759,0.0334889665251504,0,0,138.708333333333,661.819014297417,"SOD2"
"proteolysis (GO:0006508)","2/287",0.00855826310900869,0.0334889665251504,0,0,17.2850877192982,82.2918484471722,"MMP2;F3"
"release of cytochrome c from mitochondria (GO:0001836)","1/18",0.00896555009334736,0.0334889665251504,0,0,130.542483660131,615.425022203049,"SOD2"
"regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)","1/18",0.00896555009334736,0.0334889665251504,0,0,130.542483660131,615.425022203049,"SOD2"
"negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176)","1/19",0.00946151051239574,0.0343317667164074,0,0,123.283950617284,574.567716360615,"SOD2"
"xenobiotic transport (GO:0042908)","1/20",0.0099572476243862,0.0349342292633472,0,0,116.789473684211,538.335775363175,"ABCA8"
"positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)","1/21",0.0104527615118677,0.0349342292633472,0,0,110.944444444444,506.005304706543,"MMP2"
"sterol transport (GO:0015918)","1/21",0.0104527615118677,0.0349342292633472,0,0,110.944444444444,506.005304706543,"ABCA8"
"positive regulation of cholesterol efflux (GO:0010875)","1/23",0.0114431199495764,0.0369785734847954,0,0,100.848484848485,450.82969906826,"ABCA8"
"extracellular matrix assembly (GO:0085029)","1/24",0.0119379646683198,0.0369785734847954,0,0,96.4589371980676,427.12322672632,"TNXB"
"cholesterol efflux (GO:0033344)","1/24",0.0119379646683198,0.0369785734847954,0,0,96.4589371980676,427.12322672632,"ABCA8"
"regulation of cholesterol transport (GO:0032374)","1/25",0.0124325865055396,0.0375937734810363,0,0,92.4351851851852,405.553302875665,"ABCA8"
"acute inflammatory response (GO:0002526)","1/27",0.0134211618656948,0.039639245510308,0,0,85.3162393162393,367.791701998077,"F3"
"negative regulation of oxidative stress-induced cell death (GO:1903202)","1/28",0.0139151155631478,0.0401640835572676,0,0,82.1522633744856,351.182817850539,"SOD2"
"negative regulation of cell population proliferation (GO:0008285)","2/379",0.0145747361509206,0.0407932658180358,0,0,13.0059681697613,54.9952896477365,"FBLN1;SOD2"
"superoxide metabolic process (GO:0006801)","1/32",0.0158887058240638,0.0407932658180358,0,0,71.5376344086021,296.31937970283,"SOD2"
"endodermal cell differentiation (GO:0035987)","1/32",0.0158887058240638,0.0407932658180358,0,0,71.5376344086021,296.31937970283,"MMP2"
"negative regulation of smooth muscle cell proliferation (GO:0048662)","1/33",0.0163815476907073,0.0407932658180358,0,0,69.2986111111111,284.928149930553,"SOD2"
"regulation of cholesterol efflux (GO:0010874)","1/33",0.0163815476907073,0.0407932658180358,0,0,69.2986111111111,284.928149930553,"ABCA8"
"positive regulation of cholesterol transport (GO:0032376)","1/33",0.0163815476907073,0.0407932658180358,0,0,69.2986111111111,284.928149930553,"ABCA8"
"apoptotic mitochondrial changes (GO:0008637)","1/33",0.0163815476907073,0.0407932658180358,0,0,69.2986111111111,284.928149930553,"SOD2"
"regulation of cell migration (GO:0030334)","2/408",0.0167633559038034,0.0409412730727506,0,0,12.0591133004926,49.3044079267303,"SOD2;F3"
"endoderm formation (GO:0001706)","1/36",0.0178587410119325,0.0427935869531214,0,0,63.3492063492063,254.997165595292,"MMP2"
"phospholipid biosynthetic process (GO:0008654)","1/37",0.0183506949831896,0.0431581159789831,0,0,61.5864197530864,246.227915397722,"ABCA8"
"response to peptide (GO:1901652)","1/39",0.0193339377497967,0.0441719963729788,0,0,58.3391812865497,230.20018425525,"MMP2"
"negative regulation of blood coagulation (GO:0030195)","1/40",0.019825226718581,0.0441719963729788,0,0,56.8404558404558,222.860063552568,"F3"
"negative regulation of cell-substrate adhesion (GO:0010812)","1/40",0.019825226718581,0.0441719963729788,0,0,56.8404558404558,222.860063552568,"FBLN1"
"response to amyloid-beta (GO:1904645)","1/44",0.0217881685512208,0.0470031888763502,0,0,51.5426356589147,197.222132033002,"MMP2"
"positive regulation of chemotaxis (GO:0050921)","1/45",0.0222783509374742,0.0470031888763502,0,0,50.3686868686869,191.609530522956,"F3"
"positive regulation of smooth muscle cell proliferation (GO:0048661)","1/46",0.0227683122669265,0.0470031888763502,0,0,49.2469135802469,186.270812956763,"MMP2"
"interleukin-12-mediated signaling pathway (GO:0035722)","1/46",0.0227683122669265,0.0470031888763502,0,0,49.2469135802469,186.270812956763,"SOD2"
"cellular response to cytokine stimulus (GO:0071345)","2/482",0.022946438664045,0.0470031888763502,0,0,10.1614583333333,38.3553647448606,"MMP2;F3"
"cellular response to interleukin-12 (GO:0071349)","1/48",0.0237475721230066,0.0473092357617497,0,0,47.1465721040189,176.341144039401,"SOD2"
"regulation of complement activation (GO:0030449)","1/50",0.0247259488172581,0.0473092357617497,0,0,45.2176870748299,167.301012082339,"C7"
"negative regulation of ERK1 and ERK2 cascade (GO:0070373)","1/50",0.0247259488172581,0.0473092357617497,0,0,45.2176870748299,167.301012082339,"FBLN1"
"regulation of substrate adhesion-dependent cell spreading (GO:1900024)","1/51",0.0252148061968427,0.0473092357617497,0,0,44.3111111111111,163.079241679152,"FBLN1"
"cholesterol transport (GO:0030301)","1/51",0.0252148061968427,0.0473092357617497,0,0,44.3111111111111,163.079241679152,"ABCA8"
"amide biosynthetic process (GO:0043604)","1/52",0.0257034430516593,0.0473092357617497,0,0,43.4400871459695,159.039820378248,"ABCA8"
"protein homotetramerization (GO:0051289)","1/52",0.0257034430516593,0.0473092357617497,0,0,43.4400871459695,159.039820378248,"SOD2"
"regulation of immune effector process (GO:0002697)","1/53",0.0261918594705428,0.0475195164679848,0,0,42.6025641025641,155.171601418471,"C7"
"regulation of humoral immune response (GO:0002920)","1/54",0.026680055532624,0.0477234796146936,0,0,41.7966457023061,151.464313783153,"C7"
"response to reactive oxygen species (GO:0000302)","1/59",0.0291177336711439,0.0513604468921566,0,0,38.183908045977,135.033873528638,"SOD2"
"positive regulation of interleukin-8 production (GO:0032757)","1/61",0.030091265543298,0.052350557862998,0,0,36.9074074074074,129.305852202468,"F3"
"negative regulation of cellular process (GO:0048523)","2/566",0.0309487770078058,0.0531147929728558,0,0,8.61081560283688,29.9262162250889,"FBLN1;SOD2"
"negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)","1/64",0.0315499162070124,0.0534245247772077,0,0,35.1446208112875,121.466288289776,"SOD2"
