"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"receptor-mediated endocytosis (GO:0006898)","3/143",4.13988961712296e-05,0.00848677371510207,0,0,60.765306122449,613.25904596749,"DAB2;CD163;TFRC"
"receptor metabolic process (GO:0043112)","2/58",0.000366417525519015,0.0214816132293583,0,0,88.9910714285714,704.073960914209,"TFRC;LGMN"
"positive regulation of T cell proliferation (GO:0042102)","2/66",0.0004744654203815,0.0214816132293583,0,0,77.8359375,595.703478730455,"TFRC;CD209"
"positive regulation of T cell activation (GO:0050870)","2/75",0.000612347858281016,0.0214816132293583,0,0,68.208904109589,504.623799272148,"TFRC;CD209"
"positive regulation of lymphocyte proliferation (GO:0050671)","2/75",0.000612347858281016,0.0214816132293583,0,0,68.208904109589,504.623799272148,"TFRC;CD209"
"regulation of T cell proliferation (GO:0042129)","2/76",0.000628730143298291,0.0214816132293583,0,0,67.2837837837838,496.003163711321,"TFRC;CD209"
"positive regulation of cellular component organization (GO:0051130)","2/114",0.00140660291011334,0.0380106184733482,0,0,44.3705357142857,291.362573251152,"DAB2;TFRC"
"negative regulation of apoptotic process (GO:0043066)","3/485",0.00149769014178469,0.0380106184733482,0,0,17.3455838767042,112.812750696181,"DAB2;TFRC;LGMN"
"renal tubule development (GO:0061326)","1/5",0.00249770786419674,0.0380106184733482,0,0,555.166666666667,3326.77064151216,"MTSS1"
"nephron tubule development (GO:0072080)","1/6",0.00299657817287215,0.0380106184733482,0,0,444.111111111111,2580.41179429264,"MTSS1"
"positive regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000096)","1/6",0.00299657817287215,0.0380106184733482,0,0,444.111111111111,2580.41179429264,"DAB2"
"epithelial cell differentiation involved in kidney development (GO:0035850)","1/7",0.003495224297089,0.0380106184733482,0,0,370.074074074074,2093.27134911451,"MTSS1"
"peptide transport (GO:0015833)","1/7",0.003495224297089,0.0380106184733482,0,0,370.074074074074,2093.27134911451,"CD209"
"cellular response to hepatocyte growth factor stimulus (GO:0035729)","1/8",0.00399364626134036,0.0380106184733482,0,0,317.190476190476,1751.8590547314,"LGMN"
"positive regulation of early endosome to late endosome transport (GO:2000643)","1/8",0.00399364626134036,0.0380106184733482,0,0,317.190476190476,1751.8590547314,"DAB2"
"response to hepatocyte growth factor (GO:0035728)","1/8",0.00399364626134036,0.0380106184733482,0,0,317.190476190476,1751.8590547314,"LGMN"
"postsynapse organization (GO:0099173)","1/8",0.00399364626134036,0.0380106184733482,0,0,317.190476190476,1751.8590547314,"LGMN"
"negative regulation of mitochondrial fusion (GO:0010637)","1/8",0.00399364626134036,0.0380106184733482,0,0,317.190476190476,1751.8590547314,"TFRC"
"self proteolysis (GO:0097264)","1/8",0.00399364626134036,0.0380106184733482,0,0,317.190476190476,1751.8590547314,"LGMN"
"associative learning (GO:0008306)","1/9",0.00449184410751083,0.0380106184733482,0,0,277.527777777778,1500.17416789664,"LGMN"
"regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)","1/9",0.00449184410751083,0.0380106184733482,0,0,277.527777777778,1500.17416789664,"DAB2"
"positive regulation of protein modification process (GO:0031401)","2/214",0.00484611401257664,0.0380106184733482,0,0,23.3231132075472,124.302354067763,"DAB2;TFRC"
"positive regulation of non-canonical Wnt signaling pathway (GO:2000052)","1/11",0.00548756766902295,0.0380106184733482,0,0,222,1155.5699775562,"DAB2"
"positive regulation of cytoplasmic transport (GO:1903651)","1/11",0.00548756766902295,0.0380106184733482,0,0,222,1155.5699775562,"DAB2"
"regulation of mitochondrial fusion (GO:0010635)","1/11",0.00548756766902295,0.0380106184733482,0,0,222,1155.5699775562,"TFRC"
"cellular response to fluid shear stress (GO:0071498)","1/12",0.00598509351248777,0.0380106184733482,0,0,201.808080808081,1032.95129457314,"MTSS1"
"membrane organization (GO:0061024)","2/242",0.00615441849924999,0.0380106184733482,0,0,20.5729166666667,104.728180988894,"DAB2;TFRC"
"positive regulation of phosphorylation (GO:0042327)","2/253",0.00670811517913325,0.0380106184733482,0,0,19.6603585657371,98.3890310448228,"DAB2;TFRC"
"activation of cysteine-type endopeptidase activity (GO:0097202)","1/14",0.00697947368021334,0.0380106184733482,0,0,170.74358974359,847.704661538015,"LGMN"
"positive regulation of SMAD protein signal transduction (GO:0060391)","1/14",0.00697947368021334,0.0380106184733482,0,0,170.74358974359,847.704661538015,"DAB2"
"positive regulation of long-term synaptic potentiation (GO:1900273)","1/14",0.00697947368021334,0.0380106184733482,0,0,170.74358974359,847.704661538015,"LGMN"
"regulation of protein phosphorylation (GO:0001932)","2/266",0.00739094341148768,0.0380106184733482,0,0,18.6799242424242,91.6717261951071,"DAB2;TFRC"
"negative regulation of androgen receptor signaling pathway (GO:0060766)","1/15",0.00747632815644859,0.0380106184733482,0,0,158.539682539683,776.212425317664,"DAB2"
"positive regulation of endothelial cell chemotaxis (GO:2001028)","1/15",0.00747632815644859,0.0380106184733482,0,0,158.539682539683,776.212425317664,"LGMN"
"response to acidic pH (GO:0010447)","1/15",0.00747632815644859,0.0380106184733482,0,0,158.539682539683,776.212425317664,"LGMN"
"vitamin D metabolic process (GO:0042359)","1/15",0.00747632815644859,0.0380106184733482,0,0,158.539682539683,776.212425317664,"LGMN"
"regulation of clathrin-dependent endocytosis (GO:2000369)","1/15",0.00747632815644859,0.0380106184733482,0,0,158.539682539683,776.212425317664,"DAB2"
"regulation of endothelial cell chemotaxis (GO:2001026)","1/15",0.00747632815644859,0.0380106184733482,0,0,158.539682539683,776.212425317664,"LGMN"
"neuron projection organization (GO:0106027)","1/16",0.00797295899684864,0.0380106184733482,0,0,147.962962962963,714.912587220804,"LGMN"
"regulation of isotype switching (GO:0045191)","1/16",0.00797295899684864,0.0380106184733482,0,0,147.962962962963,714.912587220804,"TFRC"
"positive regulation of immunoglobulin mediated immune response (GO:0002891)","1/16",0.00797295899684864,0.0380106184733482,0,0,147.962962962963,714.912587220804,"TFRC"
"positive regulation of isotype switching (GO:0045830)","1/16",0.00797295899684864,0.0380106184733482,0,0,147.962962962963,714.912587220804,"TFRC"
"regulation of ERBB signaling pathway (GO:1901184)","1/16",0.00797295899684864,0.0380106184733482,0,0,147.962962962963,714.912587220804,"LGMN"
"hyaluronan catabolic process (GO:0030214)","1/18",0.00896555009334736,0.0408430615363602,0,0,130.542483660131,615.425022203049,"LYVE1"
"regulation of early endosome to late endosome transport (GO:2000641)","1/18",0.00896555009334736,0.0408430615363602,0,0,130.542483660131,615.425022203049,"DAB2"
"regulation of lymphocyte proliferation (GO:0050670)","1/19",0.00946151051239574,0.0412682905327899,0,0,123.283950617284,574.567716360615,"CD209"
"positive regulation of monocyte chemotaxis (GO:0090026)","1/19",0.00946151051239574,0.0412682905327899,0,0,123.283950617284,574.567716360615,"LGMN"
"negative regulation of protein localization to cell periphery (GO:1904376)","1/21",0.0104527615118677,0.0434431481345165,0,0,110.944444444444,506.005304706543,"DAB2"
"negative regulation of protein localization to plasma membrane (GO:1903077)","1/21",0.0104527615118677,0.0434431481345165,0,0,110.944444444444,506.005304706543,"DAB2"
"regulation of SMAD protein signal transduction (GO:0060390)","1/23",0.0114431199495764,0.0434431481345165,0,0,100.848484848485,450.82969906826,"DAB2"
