"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"cell migration involved in gastrulation (GO:0042074)","1/5",0.00249770786419674,0.0390790437353442,0,0,555.166666666667,3326.77064151216,"CRB2"
"retinal cone cell development (GO:0046549)","1/6",0.00299657817287215,0.0390790437353442,0,0,444.111111111111,2580.41179429264,"CRB2"
"retinal cone cell differentiation (GO:0042670)","1/6",0.00299657817287215,0.0390790437353442,0,0,444.111111111111,2580.41179429264,"CRB2"
"gastrulation with mouth forming second (GO:0001702)","1/6",0.00299657817287215,0.0390790437353442,0,0,444.111111111111,2580.41179429264,"CRB2"
"protein localization to ciliary transition zone (GO:1904491)","1/6",0.00299657817287215,0.0390790437353442,0,0,444.111111111111,2580.41179429264,"MAPK15"
"catecholamine uptake (GO:0090493)","1/7",0.003495224297089,0.0390790437353442,0,0,370.074074074074,2093.27134911451,"MAPK15"
"dopamine transport (GO:0015872)","1/7",0.003495224297089,0.0390790437353442,0,0,370.074074074074,2093.27134911451,"MAPK15"
"dopamine uptake (GO:0090494)","1/8",0.00399364626134036,0.0390790437353442,0,0,317.190476190476,1751.8590547314,"MAPK15"
"maintenance of apical/basal cell polarity (GO:0035090)","1/9",0.00449184410751083,0.0390790437353442,0,0,277.527777777778,1500.17416789664,"CRB2"
"maintenance of epithelial cell apical/basal polarity (GO:0045199)","1/9",0.00449184410751083,0.0390790437353442,0,0,277.527777777778,1500.17416789664,"CRB2"
"protein polyglutamylation (GO:0018095)","1/11",0.00548756766902295,0.0402834577005161,0,0,222,1155.5699775562,"TTLL9"
"mesoderm morphogenesis (GO:0048332)","1/12",0.00598509351248777,0.0402834577005161,0,0,201.808080808081,1032.95129457314,"CRB2"
"synaptic vesicle localization (GO:0097479)","1/13",0.00648239549203707,0.0402834577005161,0,0,184.981481481481,932.059746399125,"SYNDIG1"
"inner dynein arm assembly (GO:0036159)","1/13",0.00648239549203707,0.0402834577005161,0,0,184.981481481481,932.059746399125,"DNAH7"
"regulation of gastrulation (GO:0010470)","1/14",0.00697947368021334,0.0404809473452373,0,0,170.74358974359,847.704661538015,"CRB2"
"eye photoreceptor cell development (GO:0042462)","1/15",0.00747632815644859,0.0406525343506892,0,0,158.539682539683,776.212425317664,"CRB2"
"positive regulation of telomere capping (GO:1904355)","1/17",0.00846936628057759,0.0408871175799508,0,0,138.708333333333,661.819014297417,"MAPK15"
"stabilization of membrane potential (GO:0030322)","1/17",0.00846936628057759,0.0408871175799508,0,0,138.708333333333,661.819014297417,"KCNK15"
"establishment or maintenance of apical/basal cell polarity (GO:0035088)","1/19",0.00946151051239574,0.0408871175799508,0,0,123.283950617284,574.567716360615,"CRB2"
"mesoderm formation (GO:0001707)","1/20",0.0099572476243862,0.0408871175799508,0,0,116.789473684211,538.335775363175,"CRB2"
"regulation of telomere capping (GO:1904353)","1/23",0.0114431199495764,0.0408871175799508,0,0,100.848484848485,450.82969906826,"MAPK15"
"cilium-dependent cell motility (GO:0060285)","1/23",0.0114431199495764,0.0408871175799508,0,0,100.848484848485,450.82969906826,"DNAH7"
"peptidyl-glutamic acid modification (GO:0018200)","1/24",0.0119379646683198,0.0408871175799508,0,0,96.4589371980676,427.12322672632,"TTLL9"
"chaperone cofactor-dependent protein refolding (GO:0051085)","1/26",0.0129269855424659,0.0408871175799508,0,0,88.7333333333333,385.851420723694,"DNAJB13"
"positive regulation of BMP signaling pathway (GO:0030513)","1/27",0.0134211618656948,0.0408871175799508,0,0,85.3162393162393,367.791701998077,"CRB2"
"positive regulation of synapse assembly (GO:0051965)","1/28",0.0139151155631478,0.0408871175799508,0,0,82.1522633744856,351.182817850539,"SYNDIG1"
"synaptic vesicle cycle (GO:0099504)","1/30",0.0149023554252654,0.0408871175799508,0,0,76.4789272030651,321.688416559315,"SYNDIG1"
"'de novo' posttranslational protein folding (GO:0051084)","1/31",0.0153956417644848,0.0408871175799508,0,0,73.9259259259259,308.542479281304,"DNAJB13"
"positive regulation of telomere maintenance (GO:0032206)","1/32",0.0158887058240638,0.0408871175799508,0,0,71.5376344086021,296.31937970283,"MAPK15"
"establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)","1/32",0.0158887058240638,0.0408871175799508,0,0,71.5376344086021,296.31937970283,"CRB2"
"axonemal dynein complex assembly (GO:0070286)","1/32",0.0158887058240638,0.0408871175799508,0,0,71.5376344086021,296.31937970283,"DNAH7"
"positive regulation of telomere maintenance via telomerase (GO:0032212)","1/33",0.0163815476907073,0.0408871175799508,0,0,69.2986111111111,284.928149930553,"MAPK15"
"positive regulation of telomerase activity (GO:0051973)","1/34",0.0168741674533514,0.0408871175799508,0,0,67.1952861952862,274.289235089044,"MAPK15"
"axoneme assembly (GO:0035082)","1/34",0.0168741674533514,0.0408871175799508,0,0,67.1952861952862,274.289235089044,"DNAJB13"
"protein localization to cilium (GO:0061512)","1/35",0.0173665651965465,0.0408871175799508,0,0,65.2156862745098,264.332771444539,"MAPK15"
"positive regulation of telomere maintenance via telomere lengthening (GO:1904358)","1/36",0.0178587410119325,0.0408871175799508,0,0,63.3492063492063,254.997165595292,"MAPK15"
"retina homeostasis (GO:0001895)","1/36",0.0178587410119325,0.0408871175799508,0,0,63.3492063492063,254.997165595292,"CRB2"
"regulation of embryonic development (GO:0045995)","1/36",0.0178587410119325,0.0408871175799508,0,0,63.3492063492063,254.997165595292,"CRB2"
"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)","1/42",0.0208071402680989,0.0452555300831151,0,0,54.0623306233062,209.35416251688,"CRB2"
"positive regulation of epithelial to mesenchymal transition (GO:0010718)","1/42",0.0208071402680989,0.0452555300831151,0,0,54.0623306233062,209.35416251688,"CRB2"
"positive regulation of nervous system development (GO:0051962)","1/45",0.0222783509374742,0.0470569902152831,0,0,50.3686868686869,191.609530522956,"SYNDIG1"
"regulation of telomerase activity (GO:0051972)","1/46",0.0227683122669265,0.0470569902152831,0,0,49.2469135802469,186.270812956763,"MAPK15"
"regulation of synapse assembly (GO:0051963)","1/47",0.0232580526351399,0.0470569902152831,0,0,48.1739130434783,181.187090155358,"SYNDIG1"
"regulation of telomere maintenance via telomerase (GO:0032210)","1/52",0.0257034430516593,0.049693323233208,0,0,43.4400871459695,159.039820378248,"MAPK15"
"cilium movement (GO:0003341)","1/52",0.0257034430516593,0.049693323233208,0,0,43.4400871459695,159.039820378248,"DNAH7"
"positive regulation of cell junction assembly (GO:1901890)","1/57",0.0281433225032358,0.0532275882126416,0,0,39.5515873015873,141.216773601099,"SYNDIG1"
"positive regulation of DNA biosynthetic process (GO:2000573)","1/61",0.030091265543298,0.0546491254048508,0,0,36.9074074074074,129.305852202468,"MAPK15"
"negative regulation of peptidase activity (GO:0010466)","1/63",0.0310639188209323,0.0546491254048508,0,0,35.7132616487455,123.98602688033,"CRB2"
"negative regulation of endopeptidase activity (GO:0010951)","1/63",0.0310639188209323,0.0546491254048508,0,0,35.7132616487455,123.98602688033,"CRB2"
"regulation of cilium assembly (GO:1902017)","1/64",0.0315499162070124,0.0546491254048508,0,0,35.1446208112875,121.466288289776,"MAPK15"
"regulation of cellular catabolic process (GO:0031329)","1/65",0.0320356942028436,0.0546491254048508,0,0,34.59375,119.03379191455,"MAPK15"
"regulation of plasma membrane bounded cell projection assembly (GO:0120032)","1/70",0.0344612964819566,0.0573637947259715,0,0,32.0789049919485,108.039135201302,"MAPK15"
"regulation of endopeptidase activity (GO:0052548)","1/71",0.0349457600054769,0.0573637947259715,0,0,31.6190476190476,106.048961940834,"CRB2"
"endoplasmic reticulum organization (GO:0007029)","1/73",0.0359140308301435,0.0577679237033173,0,0,30.7376543209877,102.252717817303,"MAPK15"
"regulation of epithelial to mesenchymal transition (GO:0010717)","1/76",0.0373647978046119,0.0577679237033173,0,0,29.5037037037037,96.979448633994,"CRB2"
