"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Interleukin Receptor SHC Signaling R-HSA-912526","1/27",0.0134211618656948,0.0726272285040692,0,0,85.3162393162393,367.791701998077,"IL5RA"
"Interleukin-2 Family Signaling R-HSA-451927","1/44",0.0217881685512208,0.0726272285040692,0,0,51.5426356589147,197.222132033002,"IL5RA"
"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988","1/44",0.0217881685512208,0.0726272285040692,0,0,51.5426356589147,197.222132033002,"IL5RA"
"RAF/MAP Kinase Cascade R-HSA-5673001","1/271",0.127556081720703,0.246872248411207,0,0,8.11522633744856,16.7108672123196,"IL5RA"
"MAPK1/MAPK3 Signaling R-HSA-5684996","1/277",0.13020633712783,0.246872248411207,0,0,7.93639291465378,16.1794074023996,"IL5RA"
"MAPK Family Signaling Cascades R-HSA-5683057","1/318",0.148123349046724,0.246872248411207,0,0,6.89554854539082,13.1684974115401,"IL5RA"
"Signaling By Interleukins R-HSA-449147","1/453",0.204795643403638,0.29256520486234,0,0,4.80285152409046,7.6160865441258,"IL5RA"
"Cytokine Signaling In Immune System R-HSA-1280215","1/702",0.300499846694483,0.375624808368103,0,0,3.05737834839119,3.67591055484115,"IL5RA"
"Immune System R-HSA-168256","1/1943",0.640207776918228,0.711341974353587,0,0,1.03261242705115,0.460506423506947,"IL5RA"
"Signal Transduction R-HSA-162582","1/2465",0.731699334058651,0.731699334058651,0,0,0.790313852813853,0.246882663323061,"IL5RA"
