"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"negative regulation of inclusion body assembly (GO:0090084)","2/10",1.0103284265654e-05,0.000950579781149244,0,0,624.4375,7182.68601696673,"DNAJB1;HSPA1B"
"regulation of inclusion body assembly (GO:0090083)","2/11",1.23451919629772e-05,0.000950579781149244,0,0,555.027777777778,6273.0593076336,"DNAJB1;HSPA1B"
"chaperone cofactor-dependent protein refolding (GO:0051085)","2/26",7.26588324594917e-05,0.00372982006625391,0,0,207.979166666667,1981.98646860958,"DNAJB1;HSPA1B"
"'de novo' posttranslational protein folding (GO:0051084)","2/31",0.000103819783501601,0.00399706166481165,0,0,172.077586206897,1578.44257716669,"DNAJB1;HSPA1B"
"cellular response to heat (GO:0034605)","2/36",0.000140471934873282,0.00432653559409709,0,0,146.735294117647,1301.61584333604,"TCIM;HSPA1B"
"response to unfolded protein (GO:0006986)","2/49",0.000261307790106175,0.0067068999460585,0,0,106.079787234043,875.138256384749,"DNAJB1;HSPA1B"
"regulation of cellular response to heat (GO:1900034)","2/79",0.000679146910919025,0.0125161774649962,0,0,64.6525974025974,471.619562481535,"DNAJB1;HSPA1B"
"negative regulation of cellular component organization (GO:0051129)","2/80",0.000696375227782124,0.0125161774649962,0,0,63.8205128205128,463.950999106878,"DNAJB1;HSPA1B"
"regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)","2/82",0.000731464916785489,0.0125161774649962,0,0,62.21875,449.248076466004,"HEXIM1;CDKN2B"
"regulation of cellular response to stress (GO:0080135)","2/118",0.00150588811397024,0.0231906769551417,0,0,42.8318965517241,278.337616356369,"DNAJB1;HSPA1B"
"positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426)","1/5",0.00249770786419674,0.0256373910345729,0,0,555.166666666667,3326.77064151216,"HSPA1B"
"cellular response to nutrient (GO:0031670)","1/5",0.00249770786419674,0.0256373910345729,0,0,555.166666666667,3326.77064151216,"CDKN2B"
"positive regulation of protein kinase C activity (GO:1900020)","1/5",0.00249770786419674,0.0256373910345729,0,0,555.166666666667,3326.77064151216,"TCIM"
