"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"extracellular structure organization (GO:0043062)","6/216",2.99821219985649e-10,1.70920978897765e-08,0,0,141.285714285714,3098.08979571674,"COL1A1;MMP11;ADAMTS14;COL1A2;COL11A1;COL8A1"
"external encapsulating structure organization (GO:0045229)","6/217",3.08293795644879e-10,1.70920978897765e-08,0,0,140.609004739336,3079.33269103649,"COL1A1;MMP11;ADAMTS14;COL1A2;COL11A1;COL8A1"
"collagen fibril organization (GO:0030199)","5/89",3.85536042626537e-10,1.70920978897765e-08,0,0,236.97619047619,5136.7874798283,"COL1A1;ADAMTS14;COL1A2;COL11A1;COL8A1"
"extracellular matrix organization (GO:0030198)","6/300",2.16338751826803e-09,7.19326349824121e-08,0,0,100.489795918367,2004.93126244017,"COL1A1;MMP11;ADAMTS14;COL1A2;COL11A1;COL8A1"
"supramolecular fiber organization (GO:0097435)","5/351",3.79327193613722e-07,9.82058224203614e-06,0,0,56.7745664739884,839.404397075845,"COL1A1;ADAMTS14;COL1A2;COL11A1;COL8A1"
"endodermal cell differentiation (GO:0035987)","3/32",4.43033785355014e-07,9.82058224203614e-06,0,0,294.990147783251,4315.5937082601,"COL11A1;COL8A1;INHBA"
"endoderm formation (GO:0001706)","3/36",6.37087514306827e-07,1.21046627718297e-05,0,0,259.181818181818,3697.58081409906,"COL11A1;COL8A1;INHBA"
"skin morphogenesis (GO:0043589)","2/7",4.71859981396871e-06,7.84467219072298e-05,0,0,999.25,12254.8004531199,"COL1A1;COL1A2"
"skeletal system development (GO:0001501)","3/158",5.57329023472306e-05,0.000823608445797963,0,0,54.8433179723502,537.187002304924,"COL1A1;COL1A2;CDH11"
"odontogenesis (GO:0042476)","2/39",0.000165089798425088,0.00219569431905367,0,0,134.817567567568,1174.12902701043,"COL1A2;INHBA"
"skin development (GO:0043588)","2/80",0.000696375227782124,0.00841980957227477,0,0,63.8205128205128,463.950999106878,"COL1A1;COL1A2"
"sensory perception of mechanical stimulus (GO:0050954)","2/88",0.000841786004196978,0.00868962211271804,0,0,57.8604651162791,409.651209367184,"COL1A1;COL11A1"
"sensory perception of sound (GO:0007605)","2/91",0.000899779784624623,0.00868962211271804,0,0,55.9016853932584,392.058672686185,"COL1A1;COL11A1"
