"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"regulation of cytosolic calcium ion concentration (GO:0051480)","2/148",0.00235411732832383,0.0403337925722931,0,0,33.9794520547945,205.629692867434,"CALB2;PTGER3"
"regulation of fever generation (GO:0031620)","1/5",0.00249770786419674,0.0403337925722931,0,0,555.166666666667,3326.77064151216,"PTGER3"
"gastro-intestinal system smooth muscle contraction (GO:0014831)","1/5",0.00249770786419674,0.0403337925722931,0,0,555.166666666667,3326.77064151216,"PTGER3"
"positive regulation of heat generation (GO:0031652)","1/5",0.00249770786419674,0.0403337925722931,0,0,555.166666666667,3326.77064151216,"PTGER3"
"positive regulation of fever generation (GO:0031622)","1/6",0.00299657817287215,0.0403337925722931,0,0,444.111111111111,2580.41179429264,"PTGER3"
"negative regulation of digestive system process (GO:0060457)","1/7",0.003495224297089,0.0403337925722931,0,0,370.074074074074,2093.27134911451,"PTGER3"
"vitamin A metabolic process (GO:0006776)","1/7",0.003495224297089,0.0403337925722931,0,0,370.074074074074,2093.27134911451,"ALDH1A2"
"positive regulation of epithelial cell proliferation involved in wound healing (GO:0060054)","1/8",0.00399364626134036,0.0403337925722931,0,0,317.190476190476,1751.8590547314,"CLDN1"
"positive regulation of cell motility (GO:2000147)","2/221",0.00515945502347834,0.0403337925722931,0,0,22.5696347031963,118.872557926933,"FAM110C;CLDN1"
"phasic smooth muscle contraction (GO:0014821)","1/12",0.00598509351248777,0.0403337925722931,0,0,201.808080808081,1032.95129457314,"PTGER3"
"cellular component maintenance (GO:0043954)","1/13",0.00648239549203707,0.0403337925722931,0,0,184.981481481481,932.059746399125,"CLDN1"
"negative regulation of secretion (GO:0051048)","1/14",0.00697947368021334,0.0403337925722931,0,0,170.74358974359,847.704661538015,"PTGER3"
"cell junction maintenance (GO:0034331)","1/14",0.00697947368021334,0.0403337925722931,0,0,170.74358974359,847.704661538015,"CLDN1"
"regulation of cell projection organization (GO:0031344)","1/14",0.00697947368021334,0.0403337925722931,0,0,170.74358974359,847.704661538015,"FAM110C"
"positive regulation of acute inflammatory response (GO:0002675)","1/15",0.00747632815644859,0.0403337925722931,0,0,158.539682539683,776.212425317664,"PTGER3"
"positive regulation of cell migration (GO:0030335)","2/269",0.00755286361321181,0.0403337925722931,0,0,18.4672284644195,90.227711168045,"FAM110C;CLDN1"
"neural tube development (GO:0021915)","1/16",0.00797295899684864,0.0403337925722931,0,0,147.962962962963,714.912587220804,"ALDH1A2"
"regulation of transcription by RNA polymerase I (GO:0006356)","1/18",0.00896555009334736,0.0406844952033017,0,0,130.542483660131,615.425022203049,"BNC1"
"regulation of water loss via skin (GO:0033561)","1/19",0.00946151051239574,0.0406844952033017,0,0,123.283950617284,574.567716360615,"CLDN1"
"establishment of skin barrier (GO:0061436)","1/19",0.00946151051239574,0.0406844952033017,0,0,123.283950617284,574.567716360615,"CLDN1"
"calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)","1/20",0.0099572476243862,0.0407772997951054,0,0,116.789473684211,538.335775363175,"CLDN1"
"proteasomal ubiquitin-independent protein catabolic process (GO:0010499)","1/22",0.0109480522580433,0.0427873180723292,0,0,105.656084656085,476.99429568907,"ENC1"
"positive regulation of transcription by RNA polymerase I (GO:0045943)","1/23",0.0114431199495764,0.0427873180723292,0,0,100.848484848485,450.82969906826,"BNC1"
"fat-soluble vitamin metabolic process (GO:0006775)","1/25",0.0124325865055396,0.0444688302660826,0,0,92.4351851851852,405.553302875665,"ALDH1A2"
"retinoic acid metabolic process (GO:0042573)","1/26",0.0129269855424659,0.0444688302660826,0,0,88.7333333333333,385.851420723694,"ALDH1A2"
"positive regulation of response to wounding (GO:1903036)","1/28",0.0139151155631478,0.0457715202347437,0,0,82.1522633744856,351.182817850539,"CLDN1"
"maintenance of blood-brain barrier (GO:0035633)","1/30",0.0149023554252654,0.0457715202347437,0,0,76.4789272030651,321.688416559315,"CLDN1"
"regulation of long-term synaptic potentiation (GO:1900271)","1/30",0.0149023554252654,0.0457715202347437,0,0,76.4789272030651,321.688416559315,"CALB2"
"regulation of cell migration (GO:0030334)","2/408",0.0167633559038034,0.0497120209561066,0,0,12.0591133004926,49.3044079267303,"FAM110C;CLDN1"
"positive regulation of reproductive process (GO:2000243)","1/35",0.0173665651965465,0.0497841535634333,0,0,65.2156862745098,264.332771444539,"BNC1"
"regulation of cellular component biogenesis (GO:0044087)","1/39",0.0193339377497967,0.0532802968061866,0,0,58.3391812865497,230.20018425525,"FAM110C"
"positive regulation of wound healing (GO:0090303)","1/40",0.019825226718581,0.0532802968061866,0,0,56.8404558404558,222.860063552568,"CLDN1"
"regulation of wound healing (GO:0061041)","1/47",0.0232580526351399,0.0606118947461222,0,0,48.1739130434783,181.187090155358,"CLDN1"
"protein homotetramerization (GO:0051289)","1/52",0.0257034430516593,0.0643571404133337,0,0,43.4400871459695,159.039820378248,"ALDH1A2"
"bicellular tight junction assembly (GO:0070830)","1/53",0.0261918594705428,0.0643571404133337,0,0,42.6025641025641,155.171601418471,"CLDN1"
"tight junction assembly (GO:0120192)","1/56",0.0276557869621033,0.0660666021872468,0,0,40.2727272727273,144.495334893691,"CLDN1"
"chordate embryonic development (GO:0043009)","1/58",0.0286306380412392,0.0665468884201776,0,0,38.8557504873294,138.065278498392,"ALDH1A2"
"apical junction assembly (GO:0043297)","1/60",0.0296046094730556,0.066999905649547,0,0,37.5348399246704,132.116075607535,"CLDN1"
"monocarboxylic acid biosynthetic process (GO:0072330)","1/63",0.0310639188209323,0.0684999235538506,0,0,35.7132616487455,123.98602688033,"ALDH1A2"
"wound healing (GO:0042060)","1/70",0.0344612964819566,0.0725471526041908,0,0,32.0789049919485,108.039135201302,"CLDN1"
"protein tetramerization (GO:0051262)","1/71",0.0349457600054769,0.0725471526041908,0,0,31.6190476190476,106.048961940834,"ALDH1A2"
"cell junction organization (GO:0034330)","1/72",0.0354300047601862,0.0725471526041908,0,0,31.1721439749609,104.121077653703,"CLDN1"
"skin development (GO:0043588)","1/80",0.03929609749471,0.07454970952808,0,0,28.0042194092827,90.6392984988873,"CLDN1"
"phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)","1/81",0.039778377237952,0.07454970952808,0,0,27.6527777777778,89.1644960195625,"PTGER3"
"regulation of G protein-coupled receptor signaling pathway (GO:0008277)","1/82",0.0402604390785999,0.07454970952808,0,0,27.3100137174211,87.7303044353751,"RGS4"
"cell-cell junction organization (GO:0045216)","1/82",0.0402604390785999,0.07454970952808,0,0,27.3100137174211,87.7303044353751,"CLDN1"
"epidermis development (GO:0008544)","1/83",0.0407422831141832,0.07454970952808,0,0,26.9756097560976,86.3351376706654,"BNC1"
"negative regulation of cellular amide metabolic process (GO:0034249)","1/86",0.0421865092184754,0.0755841623497684,0,0,26.0196078431373,82.3690963539015,"ENC1"
"protein complex oligomerization (GO:0051259)","1/90",0.0441090999770031,0.0758676519604454,0,0,24.8451935081149,77.5440643631516,"CLDN1"
"negative regulation of translation (GO:0017148)","1/90",0.0441090999770031,0.0758676519604454,0,0,24.8451935081149,77.5440643631516,"ENC1"
"retinoid metabolic process (GO:0001523)","1/92",0.045069092325524,0.0759988615685306,0,0,24.2967032967033,75.3090552102818,"ALDH1A2"
"negative regulation of cellular protein metabolic process (GO:0032269)","1/94",0.0460282169261212,0.0761235895316619,0,0,23.7718040621266,73.1815144736218,"ENC1"
"regulation of cell population proliferation (GO:0042127)","2/764",0.0535085679937446,0.0868252235370196,0,0,6.30839895013123,18.4704463768461,"BNC1;ALDH1A2"
"adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)","1/118",0.057470280137792,0.0902825569798664,0,0,18.8727445394112,53.9097556963256,"PTGER3"
"protein homooligomerization (GO:0051260)","1/121",0.0588918187809667,0.0902825569798664,0,0,18.3981481481481,52.1045324627346,"ALDH1A2"
"epithelium development (GO:0060429)","1/122",0.0593652360295357,0.0902825569798664,0,0,18.2451790633609,51.5252336372963,"ALDH1A2"
"positive regulation of epithelial cell proliferation (GO:0050679)","1/123",0.0598384389285161,0.0902825569798664,0,0,18.0947176684882,50.9566616878396,"CLDN1"
"cellular calcium ion homeostasis (GO:0006874)","1/136",0.0659706109648585,0.0978184921203074,0,0,16.3415637860082,44.4252916310185,"CALB2"
"monocarboxylic acid metabolic process (GO:0032787)","1/143",0.0692576181978487,0.100951782457881,0,0,15.5305164319249,41.4652695101873,"ALDH1A2"
"positive regulation of cytosolic calcium ion concentration (GO:0007204)","1/147",0.07113123037086,0.101954763531566,0,0,15.1019786910198,39.9179849057259,"PTGER3"
"response to cytokine (GO:0034097)","1/150",0.072534211173127,0.102261346899818,0,0,14.7956748695004,38.81936703083,"ALDH1A2"
"positive regulation of protein kinase B signaling (GO:0051897)","1/161",0.0776621724057825,0.107724948820924,0,0,13.7708333333333,35.1898082282458,"FAM110C"
"adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)","1/165",0.0795205496250797,0.108551861392966,0,0,13.4322493224932,34.0069602787413,"PTGER3"
"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)","1/170",0.0818387819286868,0.109970863216673,0,0,13.0315581854043,32.6180427988393,"CLDN1"
"regulation of translation (GO:0006417)","1/178",0.0855370257686186,0.113172064863095,0,0,12.4375392341494,30.5814954331455,"ENC1"
"regulation of signal transduction (GO:0009966)","1/198",0.0947240535753905,0.1234283122346,0,0,11.1635645798082,26.3101473741682,"RGS4"
"proteasomal protein catabolic process (GO:0010498)","1/205",0.0979198348783283,0.124992208301799,0,0,10.776688453159,25.0407795287958,"ENC1"
"regulation of protein kinase B signaling (GO:0051896)","1/207",0.0988310484246783,0.124992208301799,0,0,10.6709816612729,24.6963167079631,"FAM110C"
"inflammatory response (GO:0006954)","1/230",0.10925062583745,0.136167446695953,0,0,9.58806404657933,21.2290353563418,"PTGER3"
"protein-containing complex assembly (GO:0065003)","1/267",0.125785209489871,0.154536114516128,0,0,8.23893065998329,17.080782255369,"CLDN1"
"negative regulation of gene expression (GO:0010629)","1/322",0.149853440030554,0.181512617501798,0,0,6.80823814468674,12.9226999992016,"ENC1"
"negative regulation of cell population proliferation (GO:0008285)","1/379",0.174166019870214,0.208031634844977,0,0,5.76484420928865,10.0754851223449,"ALDH1A2"
"protein modification by small protein conjugation (GO:0032446)","1/409",0.186709123630603,0.219958693592217,0,0,5.33278867102397,8.94950387528057,"ENC1"
"cellular protein metabolic process (GO:0044267)","1/417",0.190024862913143,0.220839705547707,0,0,5.22809829059829,8.68178189273992,"PAPPA"
"regulation of nucleic acid-templated transcription (GO:1903506)","1/430",0.195386997983856,0.224043757688155,0,0,5.06630406630407,8.27212490519444,"BNC1"
"nervous system development (GO:0007399)","1/447",0.20235080924172,0.228975915720894,0,0,4.8689586447434,7.77939040128449,"ALDH1A2"
"regulation of cellular macromolecule biosynthetic process (GO:2000112)","1/468",0.210878250119569,0.235176421073279,0,0,4.64501546514394,7.22984731394739,"BNC1"
"positive regulation of cell population proliferation (GO:0008284)","1/474",0.213299544694369,0.235176421073279,0,0,4.58468404980033,7.08360179705667,"BNC1"
"protein ubiquitination (GO:0016567)","1/525",0.233612154121261,0.25431196524593,0,0,4.12765055131467,6.00198777209275,"ENC1"
"positive regulation of intracellular signal transduction (GO:1902533)","1/546",0.241838052205256,0.257180103586469,0,0,3.96432212028542,5.62730364460606,"FAM110C"
"negative regulation of cellular macromolecule biosynthetic process (GO:2000113)","1/547",0.242227771982605,0.257180103586469,0,0,3.95685795685796,5.61033705417294,"ENC1"
"negative regulation of cellular process (GO:0048523)","1/566",0.249598274798821,0.261773800398763,0,0,3.82005899705015,5.301869639867,"ALDH1A2"
"positive regulation of cellular process (GO:0048522)","1/625",0.272076221002189,0.281910301279376,0,0,3.44836182336182,4.48863957511315,"BNC1"
"regulation of gene expression (GO:0010468)","1/1079",0.4257703649695,0.43590775461163,0,0,1.94928880643166,1.66441024219308,"BNC1"
"positive regulation of transcription, DNA-templated (GO:0045893)","1/1183",0.45657085440044,0.461942276216916,0,0,1.76800150404211,1.38613329676853,"BNC1"
"regulation of transcription, DNA-templated (GO:0006355)","1/2244",0.695891150397805,0.695891150397805,0,0,0.879130133254074,0.318739200458797,"BNC1"
