"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Staphylococcus aureus infection","2/95",0.000980032569103539,0.0196006513820708,0,0,53.4865591397849,370.550857021206,"KRT17;KRT15"
"Estrogen signaling pathway","2/137",0.00202200890927347,0.0202200890927347,0,0,36.7685185185185,228.099525556336,"KRT17;KRT15"
"Bladder cancer","1/41",0.0203162941970357,0.0989037952690322,0,0,55.4166666666667,215.921734165782,"FGFR3"
"Vasopressin-regulated water reabsorption","1/44",0.0217881685512208,0.0989037952690322,0,0,51.5426356589147,197.222132033002,"AQP3"
"Malaria","1/50",0.0247259488172581,0.0989037952690322,0,0,45.2176870748299,167.301012082339,"SDC1"
"Central carbon metabolism in cancer","1/70",0.0344612964819566,0.114870988273189,0,0,32.0789049919485,108.039135201302,"FGFR3"
"ECM-receptor interaction","1/88",0.0431482391729825,0.123280683351379,0,0,25.418901660281,79.894497269575,"SDC1"
"Fluid shear stress and atherosclerosis","1/139",0.0673806054536277,0.143198205439072,0,0,15.9838969404187,43.1149325245792,"SDC1"
"Signaling pathways regulating pluripotency of stem cells","1/143",0.0692576181978487,0.143198205439072,0,0,15.5305164319249,41.4652695101873,"FGFR3"
"Cell adhesion molecules","1/148",0.071599102719536,0.143198205439072,0,0,14.9984882842026,39.5461051543327,"SDC1"
"Proteoglycans in cancer","1/205",0.0979198348783283,0.148894486962631,0,0,10.776688453159,25.0407795287958,"SDC1"
"Rap1 signaling pathway","1/210",0.100196315553176,0.148894486962631,0,0,10.5162147793727,24.1938546586459,"FGFR3"
"Regulation of actin cytoskeleton","1/218",0.103827931891528,0.148894486962631,0,0,10.1244239631336,22.9320253070391,"FGFR3"
"Ras signaling pathway","1/232",0.110151531464129,0.148894486962631,0,0,9.5040885040885,20.9650526969189,"FGFR3"
"Calcium signaling pathway","1/240",0.113746959269435,0.148894486962631,0,0,9.18224081822408,19.9601618339213,"FGFR3"
"Endocytosis","1/252",0.119115589570104,0.148894486962631,0,0,8.73793714032758,18.5913673433624,"FGFR3"
"MAPK signaling pathway","1/294",0.137676092540551,0.160726286260096,0,0,7.46947288585514,14.8108555772929,"FGFR3"
"MicroRNAs in cancer","1/310",0.144653657634086,0.160726286260096,0,0,7.07695073714491,13.6826682850859,"FGFR3"
"PI3K-Akt signaling pathway","1/354",0.163580733072039,0.172190245338988,0,0,6.18098835379289,11.1903618987592,"FGFR3"
"Pathways in cancer","1/531",0.23597056792882,0.23597056792882,0,0,4.07966457023061,5.89123225435831,"FGFR3"
