"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Keratinization R-HSA-6805567","3/208",0.000126069406531275,0.00983341370943946,0,0,41.3623693379791,371.379393831906,"KRT17;KRT15;KRT5"
"Interferon Gamma Signaling R-HSA-877300","2/89",0.000860907796340742,0.0335754040572889,0,0,57.1925287356322,403.637595461887,"TRIM29;IRF6"
"MET Interacts With TNS Proteins R-HSA-8875513","1/5",0.00249770786419674,0.0407657698962839,0,0,555.166666666667,3326.77064151216,"TNS4"
"FGFR3b Ligand Binding And Activation R-HSA-190371","1/7",0.003495224297089,0.0407657698962839,0,0,370.074074074074,2093.27134911451,"FGFR3"
"Interferon Signaling R-HSA-913531","2/200",0.00424723213453984,0.0407657698962839,0,0,24.989898989899,136.482027723625,"TRIM29;IRF6"
"Cytokine Signaling In Immune System R-HSA-1280215","3/702",0.00429511928041108,0.0407657698962839,0,0,11.8277130594727,64.4643000552967,"TRIM29;SDC1;IRF6"
"FGFR3 Mutant Receptor Activation R-HSA-2033514","1/12",0.00598509351248777,0.0407657698962839,0,0,201.808080808081,1032.95129457314,"FGFR3"
"Passive Transport By Aquaporins R-HSA-432047","1/12",0.00598509351248777,0.0407657698962839,0,0,201.808080808081,1032.95129457314,"AQP3"
"FGFR3 Ligand Binding And Activation R-HSA-190239","1/13",0.00648239549203707,0.0407657698962839,0,0,184.981481481481,932.059746399125,"FGFR3"
"Phospholipase C-mediated Cascade; FGFR3 R-HSA-5654227","1/13",0.00648239549203707,0.0407657698962839,0,0,184.981481481481,932.059746399125,"FGFR3"
"Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253","1/13",0.00648239549203707,0.0407657698962839,0,0,184.981481481481,932.059746399125,"SDC1"
"SHC-mediated cascade:FGFR3 R-HSA-5654704","1/17",0.00846936628057759,0.0407657698962839,0,0,138.708333333333,661.819014297417,"FGFR3"
"PI-3K cascade:FGFR3 R-HSA-5654710","1/18",0.00896555009334736,0.0407657698962839,0,0,130.542483660131,615.425022203049,"FGFR3"
"FRS-mediated FGFR3 Signaling R-HSA-5654706","1/19",0.00946151051239574,0.0407657698962839,0,0,123.283950617284,574.567716360615,"FGFR3"
"Syndecan Interactions R-HSA-3000170","1/20",0.0099572476243862,0.0407657698962839,0,0,116.789473684211,538.335775363175,"SDC1"
"Defective B3GALT6 Causes EDSP2 And SEMDJL1 R-HSA-4420332","1/20",0.0099572476243862,0.0407657698962839,0,0,116.789473684211,538.335775363175,"SDC1"
"Defective B3GAT3 Causes JDSSDHD R-HSA-3560801","1/20",0.0099572476243862,0.0407657698962839,0,0,116.789473684211,538.335775363175,"SDC1"
"Defective B4GALT7 Causes EDS, Progeroid Type R-HSA-3560783","1/20",0.0099572476243862,0.0407657698962839,0,0,116.789473684211,538.335775363175,"SDC1"
"HS-GAG Degradation R-HSA-2024096","1/21",0.0104527615118677,0.0407657698962839,0,0,110.944444444444,506.005304706543,"SDC1"
"Signaling By FGFR3 In Disease R-HSA-5655332","1/21",0.0104527615118677,0.0407657698962839,0,0,110.944444444444,506.005304706543,"FGFR3"
"Other Interleukin Signaling R-HSA-449836","1/24",0.0119379646683198,0.0423255110967702,0,0,96.4589371980676,427.12322672632,"SDC1"
"Downstream Signaling Of Activated FGFR3 R-HSA-5654708","1/24",0.0119379646683198,0.0423255110967702,0,0,96.4589371980676,427.12322672632,"FGFR3"
"GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475","1/26",0.0129269855424659,0.0430512490063222,0,0,88.7333333333333,385.851420723694,"SDC1"
"Developmental Biology R-HSA-1266738","3/1073",0.0139086005436025,0.0430512490063222,0,0,7.5781041388518,32.3982736998525,"KRT17;KRT15;KRT5"
"MET Promotes Cell Motility R-HSA-8875878","1/28",0.0139151155631478,0.0430512490063222,0,0,82.1522633744856,351.182817850539,"TNS4"
"Negative Regulation Of FGFR3 Signaling R-HSA-5654732","1/29",0.0144088467211374,0.0430512490063222,0,0,79.2142857142857,335.861672292423,"FGFR3"
"HS-GAG Biosynthesis R-HSA-2022928","1/30",0.0149023554252654,0.0430512490063222,0,0,76.4789272030651,321.688416559315,"SDC1"
"Early SARS-CoV-2 Infection Events R-HSA-9772572","1/37",0.0183506949831896,0.0464310236068713,0,0,61.5864197530864,246.227915397722,"SDC1"
"Signaling By FGFR3 R-HSA-5654741","1/39",0.0193339377497967,0.0464310236068713,0,0,58.3391812865497,230.20018425525,"FGFR3"
"Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782","1/40",0.019825226718581,0.0464310236068713,0,0,56.8404558404558,222.860063552568,"SDC1"
"Non-integrin membrane-ECM Interactions R-HSA-3000171","1/41",0.0203162941970357,0.0464310236068713,0,0,55.4166666666667,215.921734165782,"SDC1"
"Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040","1/42",0.0208071402680989,0.0464310236068713,0,0,54.0623306233062,209.35416251688,"AQP3"
"Retinoid Metabolism And Transport R-HSA-975634","1/43",0.0212977650246516,0.0464310236068713,0,0,52.7724867724868,203.129383176071,"SDC1"
"PI3K Cascade R-HSA-109704","1/44",0.0217881685512208,0.0464310236068713,0,0,51.5426356589147,197.222132033002,"FGFR3"
"IRS-mediated Signaling R-HSA-112399","1/47",0.0232580526351399,0.0464310236068713,0,0,48.1739130434783,181.187090155358,"FGFR3"
"Metabolism Of Fat-Soluble Vitamins R-HSA-6806667","1/47",0.0232580526351399,0.0464310236068713,0,0,48.1739130434783,181.187090155358,"SDC1"
"Signaling By Receptor Tyrosine Kinases R-HSA-9006934","2/496",0.0242095131353238,0.0464310236068713,0,0,9.8663967611336,36.712957246137,"TNS4;FGFR3"
"Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185","1/50",0.0247259488172581,0.0464310236068713,0,0,45.2176870748299,167.301012082339,"SDC1"
"Aquaporin-mediated Transport R-HSA-445717","1/50",0.0247259488172581,0.0464310236068713,0,0,45.2176870748299,167.301012082339,"AQP3"
"IRS-related Events Triggered By IGF1R R-HSA-2428928","1/51",0.0252148061968427,0.0464310236068713,0,0,44.3111111111111,163.079241679152,"FGFR3"
"IGF1R Signaling Cascade R-HSA-2428924","1/52",0.0257034430516593,0.0464310236068713,0,0,43.4400871459695,159.039820378248,"FGFR3"
"Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091","1/53",0.0261918594705428,0.0464310236068713,0,0,42.6025641025641,155.171601418471,"SDC1"
"Insulin Receptor Signaling Cascade R-HSA-74751","1/53",0.0261918594705428,0.0464310236068713,0,0,42.6025641025641,155.171601418471,"FGFR3"
"Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192","1/53",0.0261918594705428,0.0464310236068713,0,0,42.6025641025641,155.171601418471,"FGFR3"
"Signaling By FGFR In Disease R-HSA-1226099","1/61",0.030091265543298,0.0521581936083833,0,0,36.9074074074074,129.305852202468,"FGFR3"
"Signaling By MET R-HSA-6806834","1/63",0.0310639188209323,0.0526736014789721,0,0,35.7132616487455,123.98602688033,"TNS4"
"Interferon Alpha/Beta Signaling R-HSA-909733","1/72",0.0354300047601862,0.0587987313041388,0,0,31.1721439749609,104.121077653703,"IRF6"
"Signaling By Insulin Receptor R-HSA-74752","1/77",0.0378479500125182,0.0610165091735287,0,0,29.1140350877193,95.3245466085723,"FGFR3"
