"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"DNA metabolic process (GO:0006259)","4/277",7.08084530007971e-06,0.000509820861605739,0,0,48.1489621489621,570.956039336898,"POLQ;RAD54L;TYMS;TICRR"
"microtubule depolymerization (GO:0007019)","2/18",3.42783740696179e-05,0.00123402146650624,0,0,312.09375,3208.63456299034,"KIF18B;KIF2C"
"microtubule polymerization or depolymerization (GO:0031109)","2/27",7.84506630995451e-05,0.0015203313173488,0,0,199.65,1887.29956104264,"KIF18B;KIF2C"
"protein depolymerization (GO:0051261)","2/28",8.4462850963822e-05,0.0015203313173488,0,0,191.961538461538,1800.44542232224,"KIF18B;KIF2C"
"DNA repair (GO:0006281)","3/298",0.00036362736069241,0.0052362339939707,0,0,28.6125907990315,226.594006477185,"POLQ;RAD54L;TICRR"
"cellular response to DNA damage stimulus (GO:0006974)","3/350",0.000581961345715286,0.00698353614858343,0,0,24.2606010703993,180.719801824553,"POLQ;RAD54L;TICRR"
"double-strand break repair via homologous recombination (GO:0000724)","2/97",0.00102141062117259,0.0101564589524648,0,0,52.3552631578947,360.548218382949,"POLQ;RAD54L"
"mitotic sister chromatid segregation (GO:0000070)","2/102",0.00112849543916276,0.0101564589524648,0,0,49.725,337.477110910056,"KIF18B;KIF2C"
"microtubule cytoskeleton organization involved in mitosis (GO:1902850)","2/128",0.00176839799267595,0.0141471839414076,0,0,39.4126984126984,249.785118997964,"KIF2C;SPC25"
"double-strand break repair via synthesis-dependent strand annealing (GO:0045003)","1/5",0.00249770786419674,0.0158628672665137,0,0,555.166666666667,3326.77064151216,"RAD54L"
"pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)","1/5",0.00249770786419674,0.0158628672665137,0,0,555.166666666667,3326.77064151216,"TYMS"
"mitotic spindle organization (GO:0007052)","2/157",0.00264381121108562,0.0158628672665137,0,0,31.991935483871,189.889213186108,"KIF2C;SPC25"
"regulation of DNA-dependent DNA replication initiation (GO:0030174)","1/6",0.00299657817287215,0.0165964329574458,0,0,444.111111111111,2580.41179429264,"TICRR"
"somatic hypermutation of immunoglobulin genes (GO:0016446)","1/8",0.00399364626134036,0.020538752201179,0,0,317.190476190476,1751.8590547314,"POLQ"
"tetrahydrofolate interconversion (GO:0035999)","1/9",0.00449184410751083,0.021560851716052,0,0,277.527777777778,1500.17416789664,"TYMS"
"mitotic DNA replication checkpoint signaling (GO:0033314)","1/10",0.00498981788934786,0.0224541805020654,0,0,246.679012345679,1307.48654986014,"TICRR"
"tetrahydrofolate metabolic process (GO:0046653)","1/11",0.00548756766902295,0.0226803543631115,0,0,222,1155.5699775562,"TYMS"
"regulation of DNA-dependent DNA replication (GO:0090329)","1/12",0.00598509351248777,0.0226803543631115,0,0,201.808080808081,1032.95129457314,"TICRR"
"attachment of mitotic spindle microtubules to kinetochore (GO:0051315)","1/12",0.00598509351248777,0.0226803543631115,0,0,201.808080808081,1032.95129457314,"KIF2C"
"mitotic DNA integrity checkpoint signaling (GO:0044774)","1/13",0.00648239549203707,0.0233366237713334,0,0,184.981481481481,932.059746399125,"TICRR"
"response to organophosphorus (GO:0046683)","1/16",0.00797295899684864,0.0258207842688404,0,0,147.962962962963,714.912587220804,"TYMS"
"DNA biosynthetic process (GO:0071897)","1/17",0.00846936628057759,0.0258207842688404,0,0,138.708333333333,661.819014297417,"TYMS"
"DNA replication checkpoint signaling (GO:0000076)","1/17",0.00846936628057759,0.0258207842688404,0,0,138.708333333333,661.819014297417,"TICRR"
"negative regulation of double-strand break repair via homologous recombination (GO:2000042)","1/18",0.00896555009334736,0.0258207842688404,0,0,130.542483660131,615.425022203049,"POLQ"
"regulation of chromosome segregation (GO:0051983)","1/18",0.00896555009334736,0.0258207842688404,0,0,130.542483660131,615.425022203049,"KIF2C"
"nucleobase-containing compound biosynthetic process (GO:0034654)","1/20",0.0099572476243862,0.0271300062775892,0,0,116.789473684211,538.335775363175,"TYMS"
